repo,month,health_file_commit_count
ionic-framework,2020-06,1
ionic-framework,2020-07,4
ionic-framework,2020-08,2
ionic-framework,2020-09,4
ionic-framework,2020-10,6
ionic-framework,2020-11,7
ionic-framework,2020-12,1
ionic-framework,2021-01,1
ionic-framework,2021-02,3
ionic-framework,2021-03,5
ionic-framework,2021-04,3
ionic-framework,2021-05,2
ionic-framework,2021-06,4
ionic-framework,2021-07,4
ionic-framework,2021-08,4
ionic-framework,2021-09,6
ionic-framework,2021-10,7
ionic-framework,2021-11,7
ionic-framework,2021-12,8
ionic-framework,2022-01,3
ionic-framework,2022-02,7
ionic-framework,2022-03,5
ionic-framework,2022-04,7
ionic-framework,2022-05,5
ionic-framework,2022-06,9
ionic-framework,2022-07,4
ionic-framework,2022-08,5
ionic-framework,2022-09,4
ionic-framework,2022-10,4
ionic-framework,2022-11,6
ionic-framework,2022-12,4
ionic-framework,2023-01,6
ionic-framework,2023-02,14
ionic-framework,2023-03,26
ionic-framework,2023-04,12
ionic-framework,2023-05,7
ionic-framework,2023-06,8
ionic-framework,2023-07,6
ionic-framework,2023-08,7
ionic-framework,2023-09,5
ionic-framework,2023-10,7
ionic-framework,2023-11,5
ionic-framework,2023-12,7
ionic-framework,2024-01,7
ionic-framework,2024-02,5
ionic-framework,2024-03,14
ionic-framework,2024-04,12
ionic-framework,2024-05,9
ionic-framework,2024-06,6
ionic-framework,2024-07,3
ionic-framework,2024-08,1
ionic-framework,2024-09,4
ionic-framework,2024-10,3
ionic-framework,2024-11,2
ionic-framework,2024-12,0
ionic-framework,2025-01,2
ionic-framework,2025-02,0
ionic-framework,2025-03,8
ionic-framework,2025-04,4
ionic-framework,2025-05,2
ionic-framework,2025-06,6
