repo,month,health_file_commit_count
juice-shop,2020-06,0
juice-shop,2020-07,7
juice-shop,2020-08,5
juice-shop,2020-09,1
juice-shop,2020-10,1
juice-shop,2020-11,1
juice-shop,2020-12,10
juice-shop,2021-01,1
juice-shop,2021-02,3
juice-shop,2021-03,2
juice-shop,2021-04,1
juice-shop,2021-05,2
juice-shop,2021-06,1
juice-shop,2021-07,0
juice-shop,2021-08,0
juice-shop,2021-09,6
juice-shop,2021-10,8
juice-shop,2021-11,1
juice-shop,2021-12,2
juice-shop,2022-01,6
juice-shop,2022-02,0
juice-shop,2022-03,2
juice-shop,2022-04,3
juice-shop,2022-05,3
juice-shop,2022-06,3
juice-shop,2022-07,6
juice-shop,2022-08,3
juice-shop,2022-09,1
juice-shop,2022-10,0
juice-shop,2022-11,5
juice-shop,2022-12,5
juice-shop,2023-01,3
juice-shop,2023-02,2
juice-shop,2023-03,0
juice-shop,2023-04,1
juice-shop,2023-05,1
juice-shop,2023-06,1
juice-shop,2023-07,0
juice-shop,2023-08,1
juice-shop,2023-09,5
juice-shop,2023-10,6
juice-shop,2023-11,3
juice-shop,2023-12,3
juice-shop,2024-01,1
juice-shop,2024-02,0
juice-shop,2024-03,1
juice-shop,2024-04,0
juice-shop,2024-05,1
juice-shop,2024-06,1
juice-shop,2024-07,3
juice-shop,2024-08,2
juice-shop,2024-09,2
juice-shop,2024-10,3
juice-shop,2024-11,1
juice-shop,2024-12,0
juice-shop,2025-01,2
juice-shop,2025-02,1
juice-shop,2025-03,0
juice-shop,2025-04,4
juice-shop,2025-05,1
juice-shop,2025-06,2
