repo,commit_sha,commit_date,health_file
kafka,58ad29cbfbd4f857bc024ae33fc505b071ad0c80,2025-04-16,README.md
kafka,e9ca0bb0f64ff0d59f66a9c719be38d336196a88,2025-04-15,README.md
kafka,42799f75864034e9bc1fb8615be692a5229176db,2025-04-10,README.md
kafka,06b7d2e0454ec50746d9e7bcb3ef0090adac5750,2025-03-01,README.md
kafka,8be216b24fbbb9da4552e6b1743397d0f6048773,2025-02-25,.github/pull_request_template.md
kafka,8be216b24fbbb9da4552e6b1743397d0f6048773,2025-02-25,PULL_REQUEST_TEMPLATE.md
kafka,cb33e98dfc8f6c0c0d43327e1369903eed1551a6,2025-02-24,README.md
kafka,a565d8fdacb1b60ec1d11636dc929dd318ab3340,2025-02-06,README.md
kafka,7e86bd828180610530a75e2fc3aae8a4f867fed2,2025-01-22,README.md
kafka,753d6859216e238ecfa7cd5849eaf582150eb1f3,2025-01-15,README.md
kafka,d1b1d9d47db3ceaf3e6a19586afe7a9e89f34e34,2025-01-09,README.md
kafka,639bb5131250ec2ee9f6923684ffd6c90028ef7d,2025-01-08,NOTICE
kafka,083e344b3010a3c3acb021c9690e162266ed95fd,2025-01-01,NOTICE
kafka,6fc5c64928133f8ab919f1b79d46a94c7fe5ed41,2024-12-23,README.md
kafka,8c1a2ff6e07819ee97e986bc6111c6e6e6876243,2024-12-14,README.md
kafka,f3f975ea67752e11f279901031a8eebb712d8319,2024-12-14,README.md
kafka,6af233e4fc1d54c045230d6c7b9ceb7806f15e97,2024-12-13,README.md
kafka,b37b89c6686f5270b37d39cf3144bccb4f5bceb2,2024-12-13,README.md
kafka,eedd9cdf433b27673f598b9e9521663c5ade49cb,2024-12-07,README.md
kafka,f9215dae3b60acaee09a59c9b598d7ea71b50915,2024-12-02,README.md
kafka,8be99f44dc1b25f226ec7a39b033aa40e103fd80,2024-11-27,README.md
kafka,aa4782aea339a65b378c6b7f6d745ffee138697e,2024-11-07,README.md
kafka,bc3e6369b92f9fac6bf45b9e81320758f0cc2750,2024-11-06,README.md
kafka,3e093062d2f1975798175d2f8439bafd9f46e4af,2024-11-06,README.md
kafka,e01f6a5c1e89009147f496d3419c522b56ab77b8,2024-10-18,README.md
kafka,54e9d75a3fca519ba306a04a6b47cd561c6fb3c6,2024-10-17,README.md
kafka,0e4eebe9c000e9eefad6461fb502f59615d7318b,2024-10-06,README.md
kafka,d38a90df2b68daf7b96f1300e2fca308dc5498cc,2024-10-06,README.md
kafka,c2de7c5e544b94fe669063e336846b7977b0c044,2024-06-27,README.md
kafka,62e5cce18412474f83af39e5146525902264a4f8,2024-06-05,README.md
kafka,342e69192f62b89b7d1ea824aeecc09c38899d72,2024-06-02,README.md
kafka,ae44a08051e9f0db78051b159e335f075aab1fe1,2024-03-27,README.md
kafka,b667e61ea7c7ed53406338df2434e97ef684d0dd,2024-03-26,README.md
kafka,92a67e8571500a53cc864ba6df4cb9cfdac6a763,2024-01-19,README.md
kafka,886e99701b8964808d3ae5eca33d06136aacec51,2024-01-03,NOTICE
kafka,a72056e20da29a16cdde41ea5430b075d4a14f0d,2023-09-26,README.md
kafka,c7de30f38bfd6e2d62a0b5c09b5dc9707e58096b,2023-07-25,README.md
kafka,2e30dd894f4f502f24ad797e1018a523fc138574,2023-07-21,README.md
kafka,3b5bb2f6a2a6b375b8eda426d8243d9dae679efe,2023-03-06,README.md
kafka,7bf3fbacfcb2517930191c9deadbfbc3bc5523d0,2023-01-06,NOTICE
kafka,52bb677bbe7141e7bc7c6f5122353b0b6143886a,2022-12-01,README.md
kafka,7dcaec4a798d32732d8e02f4895ab4584d0e2fef,2022-10-24,README.md
kafka,2e0f9f42ddc287802690410d00ec3590cca7d28d,2022-10-18,README.md
kafka,e8e815b1b6d27b551ca9548f0fe0e10d99077e0d,2022-10-17,README.md
kafka,322a065b9055649c713baf43f154052d45cd1588,2022-03-24,README.md
kafka,dcd09de1ed84b43f269eb32fc2baf589a791d468,2022-03-23,README.md
kafka,496aa1f84b0e75ed1c89559e41d75f69fe1ac71f,2022-02-21,README.md
kafka,ca375d8004c1ef070394d29028744d68b6feebd0,2022-02-08,README.md
kafka,bd9e484087059ea8ddfc86ada10844358623afa0,2022-01-12,NOTICE
kafka,14671e28d7f6c530796d3abffd4f7ccb74ac849e,2021-10-18,README.md
kafka,0118330103e992253a7875a523de3526cad4a6c5,2021-09-06,README.md
kafka,c8079800889d88f398962863036a603bb28858b4,2021-07-25,README.md
kafka,fd66db4793fc6785e7e30b2c9b0d571c12c81a39,2021-07-15,README.md
kafka,855011f92a20c07ae5ee5a93f29f11a356e30ba3,2021-07-04,README.md
kafka,13ffebe2f1012da473189c4fe86fd14b83809962,2021-05-12,README.md
kafka,ff77864a699df46a01fc76114f662c609f4fd7a6,2021-04-06,LICENSE
kafka,ff77864a699df46a01fc76114f662c609f4fd7a6,2021-04-06,NOTICE
kafka,4ed7f2cd01deabca5cf81383d8c9ee68609f8b45,2021-04-01,NOTICE
kafka,16b2d4f3a7864aabb7c438268eeea8d602b9299c,2021-03-29,README.md
kafka,7c7e8078e4f91712e44c002b2f67d8d3abb95a31,2021-03-19,README.md
kafka,8ef1619f3e7e6eb9e350424b0320cb0a11886aaa,2021-03-18,NOTICE
kafka,08a4ce42aa47e15dde83d484cbd722c81d61edb6,2021-03-15,NOTICE
kafka,7a3ebbebbc6aed2049f22c650a52f6f685546207,2021-03-04,README.md
kafka,b5265e98ebc48c44f6d9b836d4ab9d1c9cd371af,2021-02-23,README.md
kafka,8cabd57612189d633ca2aed40b63f20e1f668fa4,2020-12-11,README.md
kafka,aa0cd667bcd5c4025e84097192030b59165ac9d0,2020-09-21,README.md
kafka,d7f3505a212a8e97b39b3baae5f347bd859c87e4,2020-09-08,README.md
kafka,241e1447fae8b85b3bb491f371357b8f92d2da72,2020-09-01,README.md
kafka,048f45ce915c55110f0cf78dd4a8ff8b46e79482,2020-08-12,README.md
kafka,3993041c7602506a8b194e3a67ac018b623a3cd8,2020-07-28,LICENSE
kafka,a44ac3b3cd61a968c68f398813dfa0a9e0a89994,2020-07-24,README.md
