repo,month,health_file_commit_count
minimal-mistakes,2020-06,0
minimal-mistakes,2020-07,14
minimal-mistakes,2020-08,13
minimal-mistakes,2020-09,2
minimal-mistakes,2020-10,7
minimal-mistakes,2020-11,10
minimal-mistakes,2020-12,1
minimal-mistakes,2021-01,0
minimal-mistakes,2021-02,13
minimal-mistakes,2021-03,2
minimal-mistakes,2021-04,5
minimal-mistakes,2021-05,8
minimal-mistakes,2021-06,6
minimal-mistakes,2021-07,11
minimal-mistakes,2021-08,5
minimal-mistakes,2021-09,0
minimal-mistakes,2021-10,3
minimal-mistakes,2021-11,0
minimal-mistakes,2021-12,0
minimal-mistakes,2022-01,5
minimal-mistakes,2022-02,0
minimal-mistakes,2022-03,0
minimal-mistakes,2022-04,0
minimal-mistakes,2022-05,15
minimal-mistakes,2022-06,0
minimal-mistakes,2022-07,1
minimal-mistakes,2022-08,0
minimal-mistakes,2022-09,0
minimal-mistakes,2022-10,0
minimal-mistakes,2022-11,0
minimal-mistakes,2022-12,0
minimal-mistakes,2023-01,0
minimal-mistakes,2023-02,0
minimal-mistakes,2023-03,0
minimal-mistakes,2023-04,0
minimal-mistakes,2023-05,0
minimal-mistakes,2023-06,0
minimal-mistakes,2023-07,0
minimal-mistakes,2023-08,0
minimal-mistakes,2023-09,0
minimal-mistakes,2023-10,0
minimal-mistakes,2023-11,0
minimal-mistakes,2023-12,0
minimal-mistakes,2024-01,0
minimal-mistakes,2024-02,0
minimal-mistakes,2024-03,0
minimal-mistakes,2024-04,23
minimal-mistakes,2024-05,34
minimal-mistakes,2024-06,8
minimal-mistakes,2024-07,0
minimal-mistakes,2024-08,1
minimal-mistakes,2024-09,3
minimal-mistakes,2024-10,2
minimal-mistakes,2024-11,2
minimal-mistakes,2024-12,0
minimal-mistakes,2025-01,1
minimal-mistakes,2025-02,1
minimal-mistakes,2025-03,0
minimal-mistakes,2025-04,5
minimal-mistakes,2025-05,2
minimal-mistakes,2025-06,1
