repo,month,health_file_commit_count
mybatis-3,2020-06,0
mybatis-3,2020-07,0
mybatis-3,2020-08,0
mybatis-3,2020-09,0
mybatis-3,2020-10,0
mybatis-3,2020-11,0
mybatis-3,2020-12,1
mybatis-3,2021-01,0
mybatis-3,2021-02,0
mybatis-3,2021-03,0
mybatis-3,2021-04,0
mybatis-3,2021-05,0
mybatis-3,2021-06,1
mybatis-3,2021-07,0
mybatis-3,2021-08,0
mybatis-3,2021-09,0
mybatis-3,2021-10,0
mybatis-3,2021-11,0
mybatis-3,2021-12,0
mybatis-3,2022-01,0
mybatis-3,2022-02,0
mybatis-3,2022-03,0
mybatis-3,2022-04,0
mybatis-3,2022-05,1
mybatis-3,2022-06,0
mybatis-3,2022-07,0
mybatis-3,2022-08,2
mybatis-3,2022-09,2
mybatis-3,2022-10,0
mybatis-3,2022-11,0
mybatis-3,2022-12,0
mybatis-3,2023-01,0
mybatis-3,2023-02,4
mybatis-3,2023-03,0
mybatis-3,2023-04,0
mybatis-3,2023-05,0
mybatis-3,2023-06,0
mybatis-3,2023-07,0
mybatis-3,2023-08,0
mybatis-3,2023-09,0
mybatis-3,2023-10,0
mybatis-3,2023-11,1
mybatis-3,2023-12,0
mybatis-3,2024-01,0
mybatis-3,2024-02,0
mybatis-3,2024-03,0
mybatis-3,2024-04,0
mybatis-3,2024-05,0
mybatis-3,2024-06,0
mybatis-3,2024-07,0
mybatis-3,2024-08,1
mybatis-3,2024-09,0
mybatis-3,2024-10,0
mybatis-3,2024-11,0
mybatis-3,2024-12,1
mybatis-3,2025-01,1
mybatis-3,2025-02,0
mybatis-3,2025-03,0
mybatis-3,2025-04,0
mybatis-3,2025-05,0
mybatis-3,2025-06,1
