repo,commit_sha,commit_date,health_file
odoo,66bd4a014cd1d341c600e5a3cea984511ed63ee6,2025-03-31,README.md
odoo,632114b6b73d94b3ff61c36e0a7625797d2d71c9,2025-02-19,CONTRIBUTING.md
odoo,5e6123b3b3c8e4dd698c0f61d48f1d4d3c863bbf,2025-01-02,SECURITY.md
odoo,222525e564a9c4cbcd35fa023cb8a4654e152188,2024-05-17,.github/ISSUE_TEMPLATE.md
odoo,05c5fc7df060eebeb6ea9f05b0d3cee3785fe423,2023-12-26,SECURITY.md
odoo,38542ceac0904f93b2958de6517cf2b8a74641f6,2022-10-17,CONTRIBUTING.md
odoo,324472d86ca280680a0ed183b62b5753f155086f,2022-10-17,SECURITY.md
odoo,482de91bfd568a3cc518774b20fb2047324af17f,2022-09-26,.github/PULL_REQUEST_TEMPLATE.md
odoo,adf70bf9dcb2786e7cd00e3f84e0dc933161bc4b,2022-02-21,README.md
odoo,cc4b2b2ffd28e0f9b8245e9b68d2d08e79bfc662,2021-11-04,README.md
odoo,cbe1e8e5a5f7fff087343376191cf7fc1d00c218,2021-10-07,SECURITY.md
odoo,90f4804211e3fe735e361ce035f9ab19aebde867,2021-10-07,CONTRIBUTING.md
odoo,a65f6a58724c23c3ee2ff354d0e80aa9dc4287e7,2021-06-24,README.md
odoo,e037852ce75db8f7663254a8600690e44cf735ee,2020-12-08,.github/ISSUE_TEMPLATE.md
odoo,c4fa804cc63684be81d1eb7a567646d849e648e6,2020-09-28,CONTRIBUTING.md
odoo,c4fa804cc63684be81d1eb7a567646d849e648e6,2020-09-28,SECURITY.md
