repo,month,health_file_commit_count
pandas,2020-06,0
pandas,2020-07,0
pandas,2020-08,1
pandas,2020-09,2
pandas,2020-10,3
pandas,2020-11,1
pandas,2020-12,2
pandas,2021-01,2
pandas,2021-02,0
pandas,2021-03,0
pandas,2021-04,1
pandas,2021-05,0
pandas,2021-06,2
pandas,2021-07,0
pandas,2021-08,0
pandas,2021-09,2
pandas,2021-10,0
pandas,2021-11,0
pandas,2021-12,1
pandas,2022-01,3
pandas,2022-02,1
pandas,2022-03,0
pandas,2022-04,0
pandas,2022-05,1
pandas,2022-06,2
pandas,2022-07,2
pandas,2022-08,0
pandas,2022-09,1
pandas,2022-10,3
pandas,2022-11,1
pandas,2022-12,1
pandas,2023-01,1
pandas,2023-02,0
pandas,2023-03,0
pandas,2023-04,1
pandas,2023-05,0
pandas,2023-06,2
pandas,2023-07,2
pandas,2023-08,1
pandas,2023-09,0
pandas,2023-10,0
pandas,2023-11,0
pandas,2023-12,0
pandas,2024-01,1
pandas,2024-02,1
pandas,2024-03,0
pandas,2024-04,0
pandas,2024-05,0
pandas,2024-06,0
pandas,2024-07,1
pandas,2024-08,1
pandas,2024-09,0
pandas,2024-10,0
pandas,2024-11,0
pandas,2024-12,0
pandas,2025-01,1
pandas,2025-02,0
pandas,2025-03,0
pandas,2025-04,0
pandas,2025-05,0
pandas,2025-06,1
