repo,commit_sha,commit_date,health_file
pdf.js,ba7c34ff56e178265890bde0a866673f229967d8,2025-04-13,README.md
pdf.js,d8b6f1138fdd83c2f48531753f3647be7c45e79b,2025-02-01,README.md
pdf.js,c58f69dda4e89630f6f9a970c6b1615bf9d2fcde,2024-12-26,README.md
pdf.js,86f943ca033c059b72f7dacfbd999f27efb01e9e,2024-11-09,README.md
pdf.js,64ca2eeb8385ce71ef9f13e81640b4a16cdc290c,2024-10-04,AUTHORS
pdf.js,5c407a2d23cb7e8d6124921727197d58a777cb12,2024-09-25,AUTHORS
pdf.js,9e001f851330e99e02b6aad781d4823c0c3f4cc0,2024-09-19,README.md
pdf.js,4033913accf5a1158da345e7fa523e473d6a6ea0,2024-06-24,.github/SECURITY.md
pdf.js,2beae7aad6e9c89a794d3c87be21fcd5fe64e842,2024-06-23,.github/SECURITY.md
pdf.js,1480e6778bc77783c94a36f155372d05bcda3d15,2024-06-21,.github/ISSUE_TEMPLATE.md
pdf.js,0348559ef8214cfa2813b16c25a2dbf1e2c61851,2024-06-14,README.md
pdf.js,4197f6a284790d323b5c11c6cb0a0de1f9eaff12,2024-01-10,README.md
pdf.js,d2a52104751c7cda70a44f46db969e46af11c5dc,2024-01-10,README.md
pdf.js,e96c89d7a15edbc5fbebe2addfcd4cd358068c5e,2023-07-04,README.md
pdf.js,9aedf00ffe86a4e63131934abc9af0891f1d06ca,2023-06-26,README.md
pdf.js,c0a023eaf97bd764ac0d226093c30bd87015a563,2023-01-25,README.md
pdf.js,8d147b993fa68a1c09355c8461552685821afa59,2022-10-30,README.md
pdf.js,c1c78f9e8c9c7de7c74e31c8517ef009074781f2,2022-09-23,README.md
pdf.js,afabbc28c52ff74fa8ddca5b36c2e005094415e1,2022-09-17,README.md
pdf.js,6e3179994869d5713b3adabdea37966c3767b79b,2022-08-19,README.md
pdf.js,bd5e1a9540735bd9c78a6c2c4126e7d66200121e,2022-06-17,README.md
pdf.js,e003e82c98334f4f2df94e4a2518e1d6a667a0bd,2022-05-20,README.md
pdf.js,b89595fd20bc3f9681e11088e15d11110f4487cd,2022-02-13,README.md
pdf.js,00f8fab8a52c5bc35ad62fc821e2e3fa81e9d86a,2021-10-22,README.md
pdf.js,0068dba00966496ef41fc1a3454d1bb04d36c09d,2021-02-10,README.md
pdf.js,5520737798adc9cf32ae6e893324aad3f3376f9e,2021-01-19,README.md
pdf.js,abd2346e2a563b2b2842e18de333c27c5c8ef0e7,2021-01-19,README.md
pdf.js,0ae10bbacdb57f545f8e87439f71f59e19c8b481,2020-12-29,README.md
pdf.js,449c7763d54da2be33b7935409edd394144e8e84,2020-09-06,README.md
