repo,month,health_file_commit_count
react,2020-06,0
react,2020-07,3
react,2020-08,0
react,2020-09,0
react,2020-10,6
react,2020-11,0
react,2020-12,0
react,2021-01,0
react,2021-02,1
react,2021-03,3
react,2021-04,1
react,2021-05,0
react,2021-06,1
react,2021-07,0
react,2021-08,0
react,2021-09,4
react,2021-10,0
react,2021-11,0
react,2021-12,0
react,2022-01,1
react,2022-02,0
react,2022-03,4
react,2022-04,5
react,2022-05,0
react,2022-06,3
react,2022-07,0
react,2022-08,2
react,2022-09,1
react,2022-10,2
react,2022-11,0
react,2022-12,1
react,2023-01,1
react,2023-02,1
react,2023-03,0
react,2023-04,1
react,2023-05,0
react,2023-06,0
react,2023-07,0
react,2023-08,1
react,2023-09,0
react,2023-10,0
react,2023-11,1
react,2023-12,1
react,2024-01,0
react,2024-02,0
react,2024-03,1
react,2024-04,3
react,2024-05,2
react,2024-06,0
react,2024-07,2
react,2024-08,0
react,2024-09,0
react,2024-10,0
react,2024-11,0
react,2024-12,5
react,2025-01,5
react,2025-02,0
react,2025-03,4
react,2025-04,0
react,2025-05,0
react,2025-06,1
