repo,commit_sha,commit_date,health_file
spring-framework,2bfb283c9159174d04002a9ee7e6443f1e522d83,2025-01-07,CONTRIBUTING.md
spring-framework,80ea1f62b686ddf3e1376c5ab111fa9f9e07be02,2025-01-01,CONTRIBUTING.md
spring-framework,bc287918f288393edb493f4d64088bea96a31d1c,2025-01-01,CONTRIBUTING.md
spring-framework,7ea43bb25259b8e842ac5425a68900022a19683f,2024-10-15,SECURITY.md
spring-framework,88b684c9816ffcb2f0c9b89934aa1d718beeddb5,2024-10-15,SECURITY.md
spring-framework,3bc2c91eff35023b20260a3edc4b090f0cc2164b,2024-10-15,.github/ISSUE_TEMPLATE.md
spring-framework,3303c986503fe8aefabfddf262d4149018d9d7bb,2024-10-08,README.md
spring-framework,8941e2876eb4dcaae86b52cfc2e4345ed5886bba,2024-09-26,CONTRIBUTING.md
spring-framework,77755ff2faab926d0a28da3a33be19d436f11b29,2024-06-14,CODE_OF_CONDUCT.adoc
spring-framework,3b13f2ed3831dc122df3367f3e5fa00a3989f8e6,2024-06-10,CODE_OF_CONDUCT.adoc
spring-framework,3b13f2ed3831dc122df3367f3e5fa00a3989f8e6,2024-06-10,CONTRIBUTING.md
spring-framework,3b13f2ed3831dc122df3367f3e5fa00a3989f8e6,2024-06-10,README.md
spring-framework,b7280400eed17b7b630028d407de692cf8279c3d,2024-03-14,README.md
spring-framework,34f0c27b5e38541bfc3510a19daca2e011ea35e8,2024-03-07,README.md
spring-framework,8288db496d7704de94ae61289f2fbc3a8ec6b9e6,2024-02-15,README.md
spring-framework,4bd898c359efef38b9a25275cf86d729906e5a4c,2024-01-19,README.md
spring-framework,c9292f8e095da9addd8ad4bd000364fc9b49c291,2023-12-21,README.md
spring-framework,e8cd26bbf0d0d2aecdc015e49832d7f7b568fecc,2023-12-11,README.md
spring-framework,e906eac04993376ac34d17ad64bffcb797bd31ef,2023-07-07,CONTRIBUTING.md
spring-framework,32aa9e4b63693601c441e4101c52815560ebb4c4,2023-07-07,README.md
spring-framework,3e0aa4c603aaaab0a714d3b8ddb879b0d4a67a05,2023-04-17,README.md
spring-framework,46bd6add15bb41163445e375908df33af2831b95,2023-03-17,SECURITY.md
spring-framework,d2a4ac519cc5cb51fb2904485bef04d7d9216ba4,2023-03-01,README.md
spring-framework,acd9016fc325459c6a06e6aca215ffea58883da4,2022-11-02,CONTRIBUTING.md
spring-framework,acd9016fc325459c6a06e6aca215ffea58883da4,2022-11-02,README.md
spring-framework,3e41d7f23e1729ce9524968eb5bc26f0851aecab,2022-09-19,CONTRIBUTING.md
spring-framework,2ca64ad88a3d770f59c0bf12c570d3eb80ccac77,2022-07-13,README.md
spring-framework,3d6d8a947a8e1f252ae64306244ed4f4204cc627,2021-10-20,SECURITY.md
spring-framework,932291b867d967d1b670df77e960b5f7d7a866be,2021-10-08,CONTRIBUTING.md
spring-framework,6e92c4d6749e4ee4b68f74157a1c4539f19deb2d,2021-10-08,CONTRIBUTING.md
spring-framework,4a13928a2721259f9f4cf06814a6cfee6667bbb5,2021-06-11,CONTRIBUTING.md
spring-framework,1ee9223348c81c903a1d53d3378032beb16c3cbe,2021-03-03,README.md
spring-framework,4ebd8d77b7e72b0a1339937793eacaead9dcd774,2021-02-16,CONTRIBUTING.md
spring-framework,7ca47cfe6bee3916de4c90f6580a71b06296bd15,2021-02-16,CONTRIBUTING.md
spring-framework,3e1b1638ef51a19976b03532554b641355e5b470,2021-01-26,.github/ISSUE_TEMPLATE.md
spring-framework,b0abdee0125c29c0696ca038a3c8c268d6080c98,2021-01-11,README.md
spring-framework,3aaff40e2ea3719eaaa98689e058c3edcc0a6e8a,2020-07-01,.github/ISSUE_TEMPLATE.md
spring-framework,3aaff40e2ea3719eaaa98689e058c3edcc0a6e8a,2020-07-01,CODE_OF_CONDUCT.adoc
spring-framework,3aaff40e2ea3719eaaa98689e058c3edcc0a6e8a,2020-07-01,CONTRIBUTING.md
spring-framework,3aaff40e2ea3719eaaa98689e058c3edcc0a6e8a,2020-07-01,LICENSE.txt
spring-framework,3aaff40e2ea3719eaaa98689e058c3edcc0a6e8a,2020-07-01,README.md
spring-framework,3aaff40e2ea3719eaaa98689e058c3edcc0a6e8a,2020-07-01,SECURITY.md
spring-framework,b2a4d1c5b175844345d027d72eec321e6c1bd0d3,2020-07-01,.github/ISSUE_TEMPLATE.md
spring-framework,b2a4d1c5b175844345d027d72eec321e6c1bd0d3,2020-07-01,CODE_OF_CONDUCT.adoc
spring-framework,b2a4d1c5b175844345d027d72eec321e6c1bd0d3,2020-07-01,CONTRIBUTING.md
spring-framework,b2a4d1c5b175844345d027d72eec321e6c1bd0d3,2020-07-01,LICENSE.txt
spring-framework,b2a4d1c5b175844345d027d72eec321e6c1bd0d3,2020-07-01,README.md
spring-framework,b2a4d1c5b175844345d027d72eec321e6c1bd0d3,2020-07-01,SECURITY.md
