repo,commit_sha,commit_date,health_file
symfony,b665f6dec0c1977a69d1a06831f988269d2ceacb,2025-06-28,CONTRIBUTORS.md
symfony,40bd9ab0d6c7ce1955613227df26f107af227dc3,2025-06-26,.github/PULL_REQUEST_TEMPLATE.md
symfony,d6fc1b5d472f6ae89db86b81da36e1030a68322f,2025-05-29,CONTRIBUTORS.md
symfony,5cff5abb9af99eea61fde9e1d7a078346130de10,2025-05-26,.github/PULL_REQUEST_TEMPLATE.md
symfony,89f9f6e8625ab22f0fa8e23d9d070098f7026356,2025-05-02,CONTRIBUTORS.md
symfony,f9768e524b0dd28384aae27a4884d9b14bdeccfd,2025-04-11,.github/PULL_REQUEST_TEMPLATE.md
symfony,a734a03506f107c2de65adb29381fca6919c89a9,2025-03-28,CONTRIBUTORS.md
symfony,45c7fd3465dcc433e7bdbeae77ec2d3c69f3d9ce,2025-02-26,CONTRIBUTORS.md
symfony,12114352cb3a05b036f6bde4c14633c3a89f1b5e,2025-01-29,CONTRIBUTORS.md
symfony,9d825aa3ac82bc3456b32b3ea8a4c93abb5b5635,2025-01-28,README.md
symfony,059e588ac52a8f3d330500cc14d092272e04bb83,2024-12-31,CONTRIBUTORS.md
symfony,0332f5ea46ded09fd8530bfb483fe4252e7a1028,2024-12-14,.github/PULL_REQUEST_TEMPLATE.md
symfony,2562dc24b92e855326f2e60bfa0479f68e94e175,2024-11-27,CONTRIBUTORS.md
symfony,9447727c38a18144d250b06be4b69d591304744f,2024-11-20,.github/PULL_REQUEST_TEMPLATE.md
symfony,3d73c7979e9efda45be5da58f792fc4133cb33e6,2024-11-06,CONTRIBUTORS.md
symfony,408aa9398bbf3cafe7b2190d188ceb154fb88610,2024-10-27,CONTRIBUTORS.md
symfony,2dfddc3cfdf88cd343ba73cee083b921b0ad3d91,2024-09-21,CONTRIBUTORS.md
symfony,eb179037e466bf7a2d212c73395b91617bb7d263,2024-08-30,CONTRIBUTORS.md
symfony,a2b637850a80e246e6203ce0ec0ea994592f24cc,2024-07-30,.github/PULL_REQUEST_TEMPLATE.md
symfony,06cc3f0dac374e9ba886424916d0bdc846d8407d,2024-07-26,CONTRIBUTORS.md
symfony,023a565bdfbc586753c724813425868316eed593,2024-06-28,CONTRIBUTORS.md
symfony,d23ea3335d7ed8bd2e384f2c00430f04c16580e0,2024-06-27,README.md
symfony,c2ec36efba27373a52bf64b7eb3dc8c10400d125,2024-06-02,CONTRIBUTORS.md
symfony,09547240e049124e59d62fe5db43118b1900a18b,2024-05-21,.github/PULL_REQUEST_TEMPLATE.md
symfony,5d02ba3a00f5431f435eaacdecfc8f9b44785ed2,2024-05-16,README.md
symfony,2e7038292d9b9768add496557cad8183e2cbc026,2024-05-02,README.md
symfony,71cb74d8ade824f08a3cf1adcdda302f5904af8b,2024-04-29,CONTRIBUTORS.md
symfony,6f9973e32725f35115ca1050c397cd6a8c24fef4,2024-04-02,CONTRIBUTORS.md
symfony,8d1867da308a24c8883ea55e987728d7e660d157,2024-03-04,CONTRIBUTORS.md
symfony,f5b856f1ca939e2d62bb140ccf8040c64f27c029,2024-02-27,CONTRIBUTORS.md
symfony,34eea58be8b605670c25e00b5fdb7fe1ad8caabe,2024-02-01,.github/PULL_REQUEST_TEMPLATE.md
symfony,3c6120fb059211f4482c0b78dbcbef4e8f94760e,2024-01-31,README.md
symfony,3f65e8fb2d94156ff709b7c7a93cf9e20d6f52ef,2024-01-30,CONTRIBUTORS.md
symfony,eae4ec97ac673d1c55012126c9a6d35e4290d750,2024-01-29,README.md
symfony,cd6f6e2fa2e290e2b1a5e60c4ef84298ca25fd08,2023-12-30,CONTRIBUTORS.md
symfony,48fab07131cbfced9b0c03ee569f8dc8ef6af4de,2023-12-01,CONTRIBUTORS.md
symfony,1aa17846a4355e732dc32df1ebb8c3e14d42cd26,2023-11-30,README.md
symfony,6ddbbda4e4c72b5e05d1384b68e3ef185fe56725,2023-11-29,CONTRIBUTORS.md
symfony,c85d118e4c023bbd66c2d78247f501f21ec1a74f,2023-11-15,.github/PULL_REQUEST_TEMPLATE.md
symfony,a66ae886c7f28b3395d933ed63732f413119df2e,2023-11-10,CONTRIBUTORS.md
symfony,a2dc6cfbb5295c88efd704063cad717cebef82c5,2023-10-29,CONTRIBUTORS.md
symfony,07f9d2eeb2d9093c3ee00661a6ddf84839eecb8a,2023-10-20,.github/PULL_REQUEST_TEMPLATE.md
symfony,55a06b63292b3a904c3244cd94a15e32a940392c,2023-09-30,CONTRIBUTORS.md
symfony,5ad2b5a6022d3aa51f52a2dae7d687ae57ce43b1,2023-09-19,.github/PULL_REQUEST_TEMPLATE.md
symfony,b73147bbb04023caa07257e98ce9e9f9e4105e25,2023-08-26,CONTRIBUTORS.md
symfony,b6699ca164c179da64c5e2c636907cadfd1bd525,2023-08-25,README.md
symfony,df69d243eb81dd72d6ad902cfc8fc3f4de69d3a4,2023-07-31,CONTRIBUTORS.md
symfony,640d65d781bbd4721bb217eb9cb74524178d9735,2023-07-30,.github/PULL_REQUEST_TEMPLATE.md
symfony,36f1a6384e48dffea72f149dcf1f7fda0158ac0d,2023-07-29,CONTRIBUTORS.md
symfony,581ca6067eb62640de5ff08ee1ba6850a0ee472e,2023-07-26,CHANGELOG.md
symfony,96acbfdd7455b2e0e3fec074f3261559bc732887,2023-07-25,CHANGELOG.md
symfony,b1dc7c8581ad3fc962be0fc173f17b99e2301fde,2023-07-03,README.md
symfony,28e8a7906b3b45e57ceeccdecd40ee40469f80e6,2023-06-26,CONTRIBUTORS.md
symfony,b6b2dec5f2351085939fecfe263a30fa3e6da9e1,2023-05-27,CONTRIBUTORS.md
symfony,3f0cc24784b4c9a653ea605c1e76419962a553e7,2023-05-23,.github/PULL_REQUEST_TEMPLATE.md
symfony,06f5291de558b750579a66a1f4f77afc5406c57d,2023-04-28,CONTRIBUTORS.md
symfony,99ddcaa7650127a0bb5116606aa3ee416b4d3a70,2023-04-21,CHANGELOG.md
symfony,b360b35715b26445ce27efa72ef04a7227f1afa8,2023-04-20,CHANGELOG.md
symfony,8a917c923427e437e9040f86d6b4e0ed2f17194a,2023-04-03,README.md
symfony,9269570f46c25c709afde455ea5f5122b0c0f66f,2023-03-31,CONTRIBUTORS.md
symfony,e2e31cb2ea97d95cea11954584f9ad51c5d9da23,2023-02-28,CONTRIBUTORS.md
symfony,d7a7af989f62d7fbb6ca75c04c596fb0ad80b8f4,2023-02-04,.github/PULL_REQUEST_TEMPLATE.md
symfony,d2e034abf016f4da9a840d17af64a6573353ae97,2023-01-24,LICENSE
symfony,46b2043606a55a1461c5ec3e41cdbd41ca665d1d,2023-01-24,CONTRIBUTORS.md
symfony,80386491de4baa93111fe95929aa2577991400c8,2023-01-23,README.md
symfony,c9fce4a783e1ddf4e65057b7746a622c4c1ea42d,2023-01-20,README.md
symfony,2f62c4a7951ed05e722638beb3dcdea7c650a3a2,2023-01-01,LICENSE
