repo,commit_sha,commit_date,health_file
vscode,f730bc2a24fc650b9cf9fca24b2f6df0aa7b317c,2025-06-24,SECURITY.md
vscode,be6ae260ba87ea707de66780ab01de01f74ffcf9,2024-02-29,SECURITY.md
vscode,98c29fb976412e71f0e51b9529caf1c2ad7d810d,2023-10-06,CONTRIBUTING.md
vscode,b8e8db96fa9bac787ae3106c78d7da47d5cfc36b,2023-09-22,CONTRIBUTING.md
vscode,7ef754c2f623aa662526e611c67e8e1a97e6753a,2023-08-24,CONTRIBUTING.md
vscode,7ef754c2f623aa662526e611c67e8e1a97e6753a,2023-08-24,README.md
vscode,7ef754c2f623aa662526e611c67e8e1a97e6753a,2023-08-24,SECURITY.md
vscode,ea86537df2a54474b52cdecb118962b37e50df9f,2022-09-29,README.md
vscode,a661cd0d50c3042a80937751b6e5bfdbca94d5e7,2022-08-31,README.md
vscode,92fd228156aafeb326b23f6604028d342152313b,2022-07-19,.github/pull_request_template.md
vscode,476718e644bcd11f8dbdeaec4fa6eb7a2b0f351b,2022-03-29,README.md
vscode,e5adef5856f7efc2c18a8edbb7b05ffbfe6666c1,2022-03-15,README.md
vscode,b1781cc7aeb5c121863d39dadc97cd20fb04bf46,2022-02-02,CONTRIBUTING.md
vscode,d0fb255b021e918fd130b34cb5b89f7bdea6f646,2022-01-21,CONTRIBUTING.md
vscode,0f50dc7ad57c9ab0fe4999e88d1aae0630733db2,2022-01-21,CONTRIBUTING.md
vscode,722cbe1910f9d6572fe0ce30c22220a16f1f3c72,2021-11-18,CONTRIBUTING.md
vscode,722cbe1910f9d6572fe0ce30c22220a16f1f3c72,2021-11-18,README.md
vscode,f1caa3427aff790ea399769effb71f7712d20f9f,2021-07-15,README.md
vscode,cde8e5f6249b45a44c7853e0bc7e9e1aade94923,2021-07-08,README.md
vscode,f9720e09584e48f85375ba0de2bc8c9ebb737e24,2021-07-07,README.md
vscode,6b0ef76e677f9add1b35929566941070a4dcbc4d,2021-06-14,CONTRIBUTING.md
vscode,09d1935b4cd8431bc51a339cc569849014e036b6,2021-05-28,README.md
vscode,c2cc9b11afea0b209321646b1e634ca50fdaec9d,2021-05-26,README.md
vscode,111b0dbb658cf92a5d9e0444118f6c06d6022031,2021-05-14,README.md
vscode,30845ba2037637243751e625fb860456fa6b3948,2021-03-16,README.md
vscode,5ce792fcfad12cb5d12493a1ce956495fe408060,2021-03-09,SECURITY.md
vscode,e70ba206ff5b7b6fe54a7abda6ddb97ca3658758,2021-02-22,README.md
vscode,980becda8d52cc341ddf349021bbda0788912b4d,2021-02-14,.github/pull_request_template.md
vscode,980becda8d52cc341ddf349021bbda0788912b4d,2021-02-14,README.md
vscode,99e7aea4a82db02787969c1046268374d86f1704,2021-01-27,.github/pull_request_template.md
vscode,0442b734227974fc25f10e5f6da03eb6d319ccae,2021-01-15,README.md
vscode,1fc0025bf436089edaca72eaab9682732303adc9,2020-10-23,README.md
vscode,e4e12adc985585156313f57e78468331a9229333,2020-10-23,README.md
vscode,c8d434c125df2d37351a1c19c7e5470c2918f61a,2020-10-22,README.md
vscode,829a508a1c205899c9b8f3aefca47694b4c91f69,2020-10-22,README.md
vscode,85c800158e9febbcd0eba704414dcf34fc57b574,2020-09-17,README.md
vscode,e8760a5d6c0e09ab692e5b3e414eca018745490f,2020-09-17,.github/pull_request_template.md
vscode,e8760a5d6c0e09ab692e5b3e414eca018745490f,2020-09-17,CONTRIBUTING.md
vscode,e8760a5d6c0e09ab692e5b3e414eca018745490f,2020-09-17,README.md
vscode,a731434df95b8ca66fba9fb3a835529700983042,2020-07-06,README.md
