repo,commit_sha,commit_date,health_file
rails,da27112f78737704c17bd743e303e245dc2de8e4,2025-01-06,CONTRIBUTING.md
rails,bf48b1515c611a689005113aa6cbf35d46bcddd7,2024-03-12,.github/pull_request_template.md
rails,abf5ce1aa790127206fe7ef7e7736387835610bd,2024-01-03,README.md
rails,74ad7356e20d32ad562e1d4497b1eae91abbea42,2024-01-03,.github/issue_template.md
rails,74ad7356e20d32ad562e1d4497b1eae91abbea42,2024-01-03,.github/pull_request_template.md
rails,74ad7356e20d32ad562e1d4497b1eae91abbea42,2024-01-03,CODE_OF_CONDUCT.md
rails,74ad7356e20d32ad562e1d4497b1eae91abbea42,2024-01-03,CONTRIBUTING.md
rails,74ad7356e20d32ad562e1d4497b1eae91abbea42,2024-01-03,README.md
rails,ad9a4c2f03d40b316128fe67af1edf6905d37c90,2024-01-02,.github/issue_template.md
rails,ad9a4c2f03d40b316128fe67af1edf6905d37c90,2024-01-02,.github/pull_request_template.md
rails,ad9a4c2f03d40b316128fe67af1edf6905d37c90,2024-01-02,CODE_OF_CONDUCT.md
rails,ad9a4c2f03d40b316128fe67af1edf6905d37c90,2024-01-02,CONTRIBUTING.md
rails,ad9a4c2f03d40b316128fe67af1edf6905d37c90,2024-01-02,README.md
rails,6be1c14c5ce8e971bf30f7164ae94b018d2ef09b,2023-12-17,CONTRIBUTING.md
rails,aa81f67a9eca1fc0d7f26bfe1a181dbed4d82ce1,2022-12-17,CODE_OF_CONDUCT.md
rails,2d239ad994ca0d2ee06547590218f6435d68c8d7,2022-12-02,.github/pull_request_template.md
rails,29ed15698b1aeea82a6e1aafc6a9e805ea97ac38,2022-11-09,CONTRIBUTING.md
rails,29a2a684c54436e94b41ef88e2ad906e3e11ab4f,2022-10-25,.github/pull_request_template.md
rails,cccbc092ae211f23da6fbe7e6bea3363af11d209,2022-10-22,.github/pull_request_template.md
rails,bb31faba60e4c91d1c8ba73d4ef5dd6e103f73f0,2022-10-19,.github/pull_request_template.md
rails,69d68a371ffd63d21de0ba7bde81f4a150bc37f8,2022-07-14,.github/pull_request_template.md
rails,4b4f76df5afd3fa1cfc76acf9077140ab7624e48,2022-02-14,README.md
rails,93984c710e3e75763fd85971668cbe0398073177,2022-01-18,CODE_OF_CONDUCT.md
rails,a3e4423bbc1d868c458d06b74cd2a5426f035271,2022-01-04,README.md
rails,4607108f91881cd1c24285dca63dc8e0f3f8a4f1,2021-12-16,CODE_OF_CONDUCT.md
rails,4607108f91881cd1c24285dca63dc8e0f3f8a4f1,2021-12-16,CONTRIBUTING.md
rails,6b1784e716ca1bed26e92e77fd734c07a9994bcb,2021-12-16,README.md
rails,a47c8213229e531c33693e07460752014bcd56c8,2021-12-16,README.md
rails,0ad5e11a8403fe4c9ae3b6834e632b4b16d8ae47,2021-12-16,.github/security.md
rails,50ca6d26006e7597c47de0a72581e45112f68aa3,2021-10-19,README.md
rails,db41e6c1dd0ed1f7caba17b2e06b66f3a640a846,2021-09-27,.github/pull_request_template.md
rails,99977bb7aa5476f0443befec280faa86accdbb76,2021-09-27,.github/pull_request_template.md
rails,0c7a2f93cab3f387962dd27a36c8ccf3cb44a1b1,2021-06-01,.github/issue_template.md
rails,e442489cf6d9b31a67aea1898853bf0a26568c18,2021-04-30,.github/issue_template.md
rails,e442489cf6d9b31a67aea1898853bf0a26568c18,2021-04-30,.github/pull_request_template.md
rails,e442489cf6d9b31a67aea1898853bf0a26568c18,2021-04-30,CODE_OF_CONDUCT.md
rails,e442489cf6d9b31a67aea1898853bf0a26568c18,2021-04-30,CONTRIBUTING.md
rails,e442489cf6d9b31a67aea1898853bf0a26568c18,2021-04-30,README.md
rails,6a6a2eb15d50b4b0e5937372a8636f1f6b214f57,2021-04-12,.github/security.md
rails,a1408e72f7c4fc25ba6356a5022c87cf45a49d39,2021-01-29,.github/issue_template.md
