repo,month,health_file_commit_count
react-router,2020-06,0
react-router,2020-07,1
react-router,2020-08,1
react-router,2020-09,0
react-router,2020-10,0
react-router,2020-11,0
react-router,2020-12,0
react-router,2021-01,0
react-router,2021-02,0
react-router,2021-03,0
react-router,2021-04,0
react-router,2021-05,0
react-router,2021-06,1
react-router,2021-07,1
react-router,2021-08,1
react-router,2021-09,2
react-router,2021-10,11
react-router,2021-11,15
react-router,2021-12,24
react-router,2022-01,9
react-router,2022-02,19
react-router,2022-03,8
react-router,2022-04,8
react-router,2022-05,19
react-router,2022-06,23
react-router,2022-07,7
react-router,2022-08,6
react-router,2022-09,39
react-router,2022-10,21
react-router,2022-11,20
react-router,2022-12,11
react-router,2023-01,21
react-router,2023-02,23
react-router,2023-03,20
react-router,2023-04,13
react-router,2023-05,7
react-router,2023-06,7
react-router,2023-07,13
react-router,2023-08,5
react-router,2023-09,4
react-router,2023-10,8
react-router,2023-11,15
react-router,2023-12,11
react-router,2024-01,12
react-router,2024-02,11
react-router,2024-03,7
react-router,2024-04,12
react-router,2024-05,17
react-router,2024-06,18
react-router,2024-07,5
react-router,2024-08,8
react-router,2024-09,5
react-router,2024-10,19
react-router,2024-11,28
react-router,2024-12,39
react-router,2025-01,23
react-router,2025-02,41
react-router,2025-03,26
react-router,2025-04,27
react-router,2025-05,28
react-router,2025-06,27
