repo,commit_sha,commit_date,health_file
rust,074ccaf3c0818c1c7162babe8e7874f1fa551e18,2025-06-27,.github/PULL_REQUEST_TEMPLATE.md
rust,074ccaf3c0818c1c7162babe8e7874f1fa551e18,2025-06-27,CHANGELOG.md
rust,0c1c648ea76be04b04b77aa367ffd61dad884242,2025-06-26,RELEASES.md
rust,fad27aa6674f33c7ae4a6ceec01fe8dd7a021edf,2025-06-26,RELEASES.md
rust,bf9a5d4db2e42b3eca09ad870396410d25f78703,2025-06-26,RELEASES.md
rust,1aa5e174b4b4c290d8baa99d0b0cc2d8d3f117a0,2025-06-26,RELEASES.md
rust,95f0991ad4b6e3390f19a30d42c810605fd448c8,2025-06-25,CHANGELOG.md
rust,c11bc75fb0037f293c94d88ecc772f37c4fe00cc,2025-06-24,CHANGELOG.md
rust,2e63c7c68447eaa6245255d15a109a2f8d4953ab,2025-06-23,CHANGELOG.md
rust,43084f8c05a2c1873974f28b631b603776f7f68f,2025-06-22,RELEASES.md
rust,cddf2589d9bde633a600aa5111c7f7317a2b0813,2025-06-21,RELEASES.md
rust,6ffff5f009d951098d4762af1ec449f296787fe4,2025-06-20,CHANGELOG.md
rust,efb79975f61712b619389999aa89c56f150371f1,2025-06-18,CONTRIBUTING.md
rust,cbd683fe31c6bd661426b750e59016a04a37b6fc,2025-06-13,CHANGELOG.md
rust,8964f6ed272d9dac4533fe1be97e5ff79de14532,2025-06-05,CHANGELOG.md
rust,8d8b3f16d75dd0841bba7d21b2356f86c099d006,2025-06-03,CHANGELOG.md
rust,fcfbcc81f23f82d869beba7988d0d25c4d8dc2b5,2025-06-02,CHANGELOG.md
rust,b51e73701d49b3f18cd2f2bdac3d0b72eba12f1e,2025-06-02,CHANGELOG.md
rust,e64dd8ed96c7593da92c3d3cf3603a1799064c39,2025-05-30,CHANGELOG.md
rust,d098c8a2beda9911a0274b8658e4362e8e185a32,2025-05-28,CONTRIBUTING.md
rust,8e581e31a2191392461210f3f7a168910da5bf49,2025-05-26,CHANGELOG.md
rust,4f24d142d960350f9cb585795c5cd58857782045,2025-05-25,Readme.md
rust,25c759127bc592e36ef17d4aa31649c520801f69,2025-05-23,CONTRIBUTING.md
rust,7debaf6b44f993c7aaf363ed394c4b4a840d9254,2025-05-21,CHANGELOG.md
rust,7debaf6b44f993c7aaf363ed394c4b4a840d9254,2025-05-21,CONTRIBUTING.md
rust,8e3d0b2b031ee49596e4ae6da3845928909baca8,2025-05-20,Readme.md
rust,7123f2acf7e1e85872f7c8dd15aebdd3f459ef12,2025-05-19,CONTRIBUTING.md
rust,93bd4d893122417b9265563c037f11a158a8e37c,2025-05-15,CHANGELOG.md
rust,93bd4d893122417b9265563c037f11a158a8e37c,2025-05-15,CONTRIBUTING.md
rust,d52b5e6df586ceb3bc10aef79940fa21f2ce1341,2025-05-14,CONTRIBUTING.md
rust,d52b5e6df586ceb3bc10aef79940fa21f2ce1341,2025-05-14,Readme.md
rust,488e4e53d25b01b01e09fbf8b2745fd32db2c6ab,2025-05-14,CHANGELOG.md
rust,40e1b0ed00878f3229f053398a8d7a49d8b68bcc,2025-05-13,CHANGELOG.md
rust,a8679816dc33567d811f743d52586b0aa29754a2,2025-05-12,CHANGELOG.md
rust,55b5c835c57ce88d8499b281ead008ff54908b00,2025-05-12,CHANGELOG.md
rust,2c5f64d55aef4a2e64350e73243ee5a92ec3a2ea,2025-05-09,RELEASES.md
rust,10980be12eb166a9f87f2ca241d78cf6d4f97bd7,2025-05-09,RELEASES.md
rust,3c8efb57bd04532c629909deef3ba6881f9b9e15,2025-05-09,RELEASES.md
rust,cb253490c3f18abb59b98c9f01c036b28e7deccc,2025-05-09,RELEASES.md
rust,3caca6dc4ec7a5fdd1a24dc3fa9ef676d8e3c34f,2025-05-09,RELEASES.md
rust,a278f8dcea893d3083222e5c168ecfab200e1f4c,2025-05-08,RELEASES.md
rust,06fa0452eb62f675a4e43bde3a4754195e942e23,2025-05-07,CHANGELOG.md
rust,be405344570f68138ecce86f19f3908d6f481ba9,2025-05-07,CHANGELOG.md
rust,b768fbe4bccbfd4c4ecbd4726805facb6769eb4f,2025-05-04,CONTRIBUTING.md
rust,c46855209755c737e919f69c2409782f1689b682,2025-05-03,CHANGELOG.md
rust,8b15bfbe8c43b6143acb67554573fc8637ce652a,2025-04-30,CONTRIBUTING.md
rust,8b15bfbe8c43b6143acb67554573fc8637ce652a,2025-04-30,Readme.md
rust,43747cecfbe9a7f3c60a712256cfd6131bad7a0c,2025-04-29,CONTRIBUTING.md
rust,2e9ec931dae240e4845c16c2f54153bf01b63fcd,2025-04-29,CONTRIBUTING.md
rust,62814f0995c855c4a2effc1cb318da9fc9810adb,2025-04-29,CONTRIBUTING.md
rust,d11bfe9c187e72147ce520a3d5f2c0ea28eb98ad,2025-04-29,CONTRIBUTING.md
rust,d11bfe9c187e72147ce520a3d5f2c0ea28eb98ad,2025-04-29,Readme.md
rust,f150171b6cc6b1e8393fd9b057accb6b5ea0f093,2025-04-29,CONTRIBUTING.md
rust,f150171b6cc6b1e8393fd9b057accb6b5ea0f093,2025-04-29,Readme.md
rust,a5b947ba1cba06bbd08f4d5c83aac1dba1dd37ca,2025-04-29,CONTRIBUTING.md
rust,a5b947ba1cba06bbd08f4d5c83aac1dba1dd37ca,2025-04-29,Readme.md
rust,ce5a198239ff3f656e0e5bb0035b6fac306a461a,2025-04-29,CONTRIBUTING.md
rust,ff428d91c2b690b8dbd8cc1e48274870c24fe1e2,2025-04-22,CHANGELOG.md
rust,8f9a32aaf844174b26d7a39839c19c8f1c8d8cd0,2025-04-18,Readme.md
rust,05448bd9c7c256d45d9965989397331d52e4fd0d,2025-04-17,CHANGELOG.md
rust,e2422a618d9d3a432f3c2b1873dd0b8278106d66,2025-04-15,CHANGELOG.md
rust,27d00a53fc17de29511e501f07d5e491417fce05,2025-04-07,.github/PULL_REQUEST_TEMPLATE.md
rust,944dfc749fe3a33056e8ec0137c004ac616c64fb,2025-04-03,CHANGELOG.md
rust,52a3082056ddc00df7d264ec80b16a0ecfe366d1,2025-04-02,CHANGELOG.md
rust,8a3ee9755245eccae6327c3f4cc658fe12615b18,2025-03-30,RELEASES.md
rust,15dbafa81ee8dcf70ead827bb4991d5be8cd99de,2025-03-30,Readme.md
rust,d5d2189c715bba5b12585c52ac8e30ac52c484f9,2025-03-30,CHANGELOG.md
rust,fb32aaf9ac75b503e0f344dc32ad2bf0f50f6952,2025-03-30,CHANGELOG.md
rust,af7359ee4fd25ac5fd92fa20c8b37405ac0d0c05,2025-03-26,RELEASES.md
rust,de3aa1d9b1e0d780b999b2e4fd5ded8fa1072a41,2025-03-23,CHANGELOG.md
rust,88b590bf4626df68b73fdb03840c7ce616ac5929,2025-03-23,CHANGELOG.md
rust,f39478f8a538eba5c56229b4f2c4f686d504e71d,2025-03-22,RELEASES.md
rust,82381608c993262b562e56b8b52ff47b42650c8e,2025-03-22,CHANGELOG.md
rust,f71d14e10ca9d87230c4a845e69976451ae0227f,2025-03-21,.github/PULL_REQUEST_TEMPLATE.md
rust,aadda467525d6bb6ade388312cb71f20f8c0e2f4,2025-03-21,CHANGELOG.md
rust,c86216ebe708d88dec9772e1f84556f5f529c6c6,2025-03-20,CHANGELOG.md
rust,c86216ebe708d88dec9772e1f84556f5f529c6c6,2025-03-20,README.md
rust,1f64cb7e63943dd60df05f7ae06e0ae5a4724d43,2025-03-18,RELEASES.md
rust,1954494ec9aa84983f55646fb8f5cac433a3b7bc,2025-03-17,RELEASES.md
rust,04c9956c9a470ca6b809bb76620846641ac8c892,2025-03-17,README.md
rust,559f23e1f2b0b2b39e6ee2ab20764bddd622fb5d,2025-03-12,README.md
rust,5df68878bf741c2a126b3032c2c3a5f60ac7e1e0,2025-03-04,CHANGELOG.md
rust,4febd273e5a82a9c5aa648e8d843baa184c30929,2025-03-04,CONTRIBUTING.md
rust,7fe160a60d58456dff82fec397d330f22cb00242,2025-03-01,CHANGELOG.md
rust,2fd51b8d3472cbb3384b68f52cc07a573085ffe4,2025-03-01,CHANGELOG.md
rust,f94f64f5e84e5b55c39be795e4e2a8515bbca517,2025-03-01,CHANGELOG.md
rust,fe01c4499507fc6ba21e07ff9824c14443b308e9,2025-02-28,CHANGELOG.md
rust,baadee8fd36e951c258d3d8505aa292bc3165b31,2025-02-27,CHANGELOG.md
rust,6af901c51edbe2019e6aa18f7b33eb8581dc49af,2025-02-26,CHANGELOG.md
rust,e173b714aa4307d136871025b1ef6e2a409d06ca,2025-02-26,Readme.md
rust,325bfef88d03cb79c6369d22adb14d997d090573,2025-02-26,CHANGELOG.md
rust,efcf1f57302b9d865caea8e069aef826e060e0b2,2025-02-24,CHANGELOG.md
rust,6366cca43958bedcfcc1b980061793e1f6664c43,2025-02-21,CHANGELOG.md
rust,83f5cbad188a905ec5793002b36e5d27a7a20890,2025-02-19,CHANGELOG.md
rust,822e45b1862956eb51fd3624604cbc6abf89f49a,2025-02-17,CHANGELOG.md
rust,3e637202321834f41f5f1dcda6816dceb535da78,2025-02-16,CHANGELOG.md
rust,2a8fbb5f5678e3fa61e06430da957662030ad404,2025-02-16,RELEASES.md
rust,8aa2290b86627a7c996672d29e34b1e88f3c6673,2025-02-15,RELEASES.md
rust,fd17bfe57d615673f94e1c4a5686222ad03a1056,2025-02-15,CHANGELOG.md
rust,342ac8ee289abbc28da41daa6cbb3e60586fe42b,2025-02-12,CHANGELOG.md
rust,8b6de49ef74de5bc5485ccb507178fa72dff9c87,2025-02-12,CHANGELOG.md
rust,da6a05977dd0a9a8fd973b3d08937e9b81d7e2ab,2025-02-11,CHANGELOG.md
rust,4d4ef0000c16fa89a51e39e022e5a2ebb891906d,2025-02-09,CHANGELOG.md
rust,5aa9d7ae7f33a21842c532aa7dcbe98e1df91a15,2025-02-06,CHANGELOG.md
rust,4c932ff8379e70893d3cdc835c289547ba3bee26,2025-02-03,Readme.md
rust,e82b1f465338f3d951ec52633bca9250ce26ec05,2025-02-03,CHANGELOG.md
rust,045e36d6a7b797e2eef8ee92bce11a499c319a5b,2025-01-30,CHANGELOG.md
rust,8db9ecfd74732f4227421fd9bbf3c7704f594cbe,2025-01-30,CHANGELOG.md
rust,3899d14db6e882f097682819a55ba30e4bc5b7d9,2025-01-29,RELEASES.md
rust,84fb6b165176d4349377862a1587c522a3ac5ae8,2025-01-29,CHANGELOG.md
rust,e4db6d7825cc22991f2c73623c39c457e86a1600,2025-01-29,RELEASES.md
rust,9da9ddb7db5b3005b38386bed2bf77932e7d4b4c,2025-01-28,CHANGELOG.md
rust,9da9ddb7db5b3005b38386bed2bf77932e7d4b4c,2025-01-28,CONTRIBUTING.md
rust,9da9ddb7db5b3005b38386bed2bf77932e7d4b4c,2025-01-28,README.md
rust,4693d0a9ffceeabed36d2e82be3cfce5e1322b30,2025-01-28,CHANGELOG.md
rust,4693d0a9ffceeabed36d2e82be3cfce5e1322b30,2025-01-28,README.md
rust,13be95ab11d0ffc5bb98a08dc6d3bb18ef6e0a77,2025-01-26,CHANGELOG.md
rust,26a7b322a37c1eeefb324bd3d082eeb36654c6a2,2025-01-25,CHANGELOG.md
rust,307d85409b141eb60724147e5cc6d41ddad569d4,2025-01-25,CHANGELOG.md
rust,2ad20daa2a2e9c0be30806fc93b54bf1dcca2559,2025-01-25,CHANGELOG.md
rust,c214f5144e1f7638dc007b0a389bb769528e56a8,2025-01-25,CHANGELOG.md
rust,2671e4a5c19492dba76905cc1e27b5dfba5fb34f,2025-01-24,CHANGELOG.md
rust,9ce6741d78d86c7bfc4f487f8c9acf73bf28f944,2025-01-23,RELEASES.md
rust,e749a38886ab868669029cf564c34bf9cad0d1fc,2025-01-20,CONTRIBUTING.md
rust,51b0107d287bf1f0e8932c73df0deed1cecfe64c,2025-01-19,CHANGELOG.md
rust,aced46dcde90545c765d39684be8b184266760cc,2025-01-15,RELEASES.md
rust,544f71f48d0b73db7d5815519dc6fd6a4ce87390,2025-01-15,CHANGELOG.md
rust,35dbaf8a618403e4a9ae2da04eb479d6450c7c88,2025-01-13,CHANGELOG.md
rust,4a69d0d4d8cb2b524f486d69d7c0a06eda68fd2b,2025-01-10,CHANGELOG.md
rust,f3b1dd636d35b1b9debfdd52dc47a9960bb34948,2025-01-10,CONTRIBUTING.md
rust,d0a74af9794d077cea7ed8979071de122334e503,2025-01-09,CHANGELOG.md
rust,326fedf3097e1e2974491318c0266f9c11577b21,2025-01-09,RELEASES.md
rust,44d760fb919229a477f057674977f3d4c0b907fb,2025-01-08,RELEASES.md
rust,2ab8b0b4f9a4c42c6d289c6373752a6527f4d90d,2025-01-08,RELEASES.md
rust,70123283bef554507b17a0bdf9eea2f7471956b4,2025-01-07,.github/pull_request_template.md
rust,87ce94d56fba068dc1f1acea5fceb58d32efe697,2025-01-06,RELEASES.md
rust,622382b6c6b18bd36623ff0d2aa20b134c37a941,2025-01-04,CHANGELOG.md
rust,4e4a2d022bfbb6740d78d82c37d1b6363948a18a,2025-01-03,CHANGELOG.md
rust,575cdf7492f0390d355113a823897a7c7d02357b,2025-01-03,RELEASES.md
rust,5a2e2a954bb4b74de5d99f6ddbc9ab41b141d0e7,2025-01-02,RELEASES.md
rust,707653f268a2e8911751b738671bae8da9eb7225,2025-01-01,CHANGELOG.md
rust,8a38bcc39083a2c73c2b7f27870d6bef85756f52,2024-12-27,CHANGELOG.md
rust,1cc50519d103c84ec68f466af17c728e4584087e,2024-12-26,CHANGELOG.md
rust,6f6ddd299c5ab87a8df5404d9ccbd16a5f358aa8,2024-12-19,CHANGELOG.md
rust,7a80f7b790333aed3b456db01d6c3dd26c69d487,2024-12-15,CHANGELOG.md
