repo,commit_sha,commit_date,health_file
socket.io,c251ae7ba77d43de73225770f1470eb2fa112c6d,2024-09-21,CONTRIBUTING.md
socket.io,7521ac227bf456ece7b395289e7e7ef691c50fd6,2024-07-17,CHANGELOG.md
socket.io,7521ac227bf456ece7b395289e7e7ef691c50fd6,2024-07-17,CONTRIBUTING.md
socket.io,d3761e3e9e881f37fb9fb0c70939acacbc84ecf0,2024-07-09,SECURITY.md
socket.io,5fae41a0d5c6f4595244b7c97962b8241beee11b,2024-07-09,LICENSE
socket.io,ec7921170189120560ccb758af4140f06ec15104,2024-07-08,README.md
socket.io,8c3debf15a8ffd717b27dfb850c6505bfacb7dfe,2024-07-08,CONTRIBUTING.md
socket.io,34137d39a94abeae1485e0b84916effe3b847716,2024-07-08,CHANGELOG.md
socket.io,efe86ee20c9bba0d15883863bc1893930b25d50f,2024-07-08,.github/PULL_REQUEST_TEMPLATE.md
socket.io,32a1a6039ff6195d0a4fef159730a4a981617e5e,2024-07-08,.github/PULL_REQUEST_TEMPLATE.md
socket.io,c0e448a023b826d6d00b7c0b9d4549c9a6661488,2024-07-04,CHANGELOG.md
socket.io,273093ceae3854db5b67b09e1ca64ed86b66bf72,2024-07-04,.github/PULL_REQUEST_TEMPLATE.md
socket.io,f21de7b00ed09b3bbad2807db718ea5d6bc36aba,2024-07-01,README.md
socket.io,c815579e1bfe59a7829f2114752ef78835dafa02,2024-07-01,README.md
socket.io,88016b808a1dcbca866bdbe31e22ac55a6120851,2024-06-25,SECURITY.md
socket.io,71eaec477c57164e6e6e03ff6862453138b74381,2024-06-22,CHANGELOG.md
socket.io,791aa58f4c0a003335a945fdd704cb910bd35970,2024-06-21,CHANGELOG.md
socket.io,a17cbc5418d3c2d6043b38e8b5d5d19fbefb0c3e,2024-06-21,CHANGELOG.md
socket.io,05a190a9dbf40226a1f8c0d21c0f7dc3718a297c,2024-06-18,CHANGELOG.md
socket.io,d3f45dca38f84fed68ac710b6b510f55145b8731,2024-06-18,CHANGELOG.md
socket.io,72408ad462ad813c4080a25e7eba5fa2c1557ef1,2024-06-18,CHANGELOG.md
socket.io,c087dc5f3290e077ea5b52e22950828a9da38252,2024-06-04,CHANGELOG.md
socket.io,156d622c485c261a542b92b129437a22bd62dd00,2024-05-19,README.md
socket.io,8a2ece1f367dd9898791ee663940386147d2d688,2024-04-26,History.md
socket.io,c68478dcf8152525eb189f20f6387c97bdcaeeda,2024-04-10,History.md
socket.io,c68478dcf8152525eb189f20f6387c97bdcaeeda,2024-04-10,Readme.md
socket.io,50176812a1f815b779cf8936996b06e559122620,2024-03-14,CHANGELOG.md
socket.io,4f6030f2c4394bc51d63fe27ed3310d95b9e0a74,2024-03-14,CHANGELOG.md
socket.io,5eae5a0b541b2d671b561e88029f8aa888cb33f9,2024-02-22,CHANGELOG.md
socket.io,549156c064bd7abb6cb2ae0aadd508afe16d7c3d,2024-02-21,CHANGELOG.md
socket.io,69d02dd754aab6351fd32ac2aa13b2d52d5c47ee,2024-02-05,CHANGELOG.md
socket.io,6ab2509d529d438e25b6c3a701444aa6585fa153,2024-01-12,CHANGELOG.md
socket.io,8cfea8c30b113b0b6987976af9243cba6f537f30,2024-01-12,CHANGELOG.md
socket.io,0d893196f8e86ccba3a7a1ab728d00593d7aa238,2024-01-03,CHANGELOG.md
socket.io,ca5d50ebacc5bfbfdbbd04a7f180cbeda54e72c4,2024-01-03,CHANGELOG.md
socket.io,ff0fbfb61f2509ef302870cfd993344c1d035e7d,2023-11-09,CHANGELOG.md
socket.io,fa479164251dd1f283dd163143b546582161339a,2023-11-09,CHANGELOG.md
socket.io,bbf1fdc7a62be13c68f3061e7618cef99c2ec053,2023-10-10,Readme.md
socket.io,2da559a8fa8376a835bfaedfb13ef075414af306,2023-10-06,CHANGELOG.md
socket.io,4f633dd6a4445492d57af3b27ddd2d336014f1f1,2023-09-19,Readme.md
socket.io,fd9dd74eeed3fa6a15c63240df30cc3b7357102f,2023-08-12,CHANGELOG.md
socket.io,c332643ad8b2eff3a9edee432bfd53fb37559280,2023-08-02,CHANGELOG.md
socket.io,928d76d25502bfb33375b31f5402268e2542e63f,2023-08-02,CHANGELOG.md
socket.io,12ca32b534e8970f1875359e49982539533653e4,2023-08-02,CHANGELOG.md
socket.io,10970563bf179a4fc8413f28cf55a9b07f50a782,2023-08-01,CHANGELOG.md
socket.io,58626c7eddd8c1f85eadf6b604c3799406669abc,2023-08-01,CHANGELOG.md
socket.io,aea321cadc28fe30929149d1134ec920d833e0a9,2023-07-31,CHANGELOG.md
socket.io,723c7bab4d463f49c114ff7f2fefdaaad2379104,2023-07-02,README.md
socket.io,2f6cc2fa4287de02fa5c9b8f5bf7d5beb37acf2f,2023-06-28,CHANGELOG.md
socket.io,0536fccfc29b58ccc7bbf7e6103877134ac6ec5b,2023-06-28,CHANGELOG.md
socket.io,500085dcf27f6301c963563aee7ff48778d9c484,2023-06-28,CHANGELOG.md
socket.io,500085dcf27f6301c963563aee7ff48778d9c484,2023-06-28,README.md
socket.io,98915d0b61cb4fae527795e9b44418199a17c76a,2023-06-27,CHANGELOG.md
socket.io,00d8ee5b057a8aef830d88da77579037759e762c,2023-06-22,CHANGELOG.md
socket.io,9b235ec01d2ea7f1685b704bd2c5001597635f51,2023-06-22,CHANGELOG.md
socket.io,2d8b159e2ad3d5aa62a1c8c500b605a3ce65c143,2023-06-22,SECURITY.md
socket.io,1f640a2a0f7cd3beba2d1a0ecec6614e7ff6fe4c,2023-06-16,CHANGELOG.md
socket.io,4abc2ca3dfc837039b16865796190819704cdd72,2023-06-16,CHANGELOG.md
socket.io,4abc2ca3dfc837039b16865796190819704cdd72,2023-06-16,README.md
socket.io,a779bea9d7e94ddb84901dc702a75de3a1f0d719,2023-06-11,CHANGELOG.md
socket.io,01d37624a8fec5041e0f19e071914f610946a3af,2023-05-31,CHANGELOG.md
socket.io,faf914c9ab3e06a6e84fc91774a4182e58f8ae70,2023-05-31,CHANGELOG.md
socket.io,a04ae1b0942f6123eedb2c7c4327f75adf73f1ed,2023-05-31,CHANGELOG.md
socket.io,164ba2a11edc34c2f363401e9768f9a8541a8b89,2023-05-31,CHANGELOG.md
socket.io,0fc3694a1347d341d9a322fb3d7d19a0d63ac6be,2023-05-24,CHANGELOG.md
socket.io,db3de84ad5902ab7a181bb077f247a7cc992ca61,2023-05-23,SECURITY.md
socket.io,7bd77759bd3e76696f1c636167c219524bef407b,2023-05-23,SECURITY.md
socket.io,6a5a004d1e1fd7b7250fdc6fb148e0d9015f8368,2023-05-22,CHANGELOG.md
socket.io,b6c824f82421aa44dfd5ef395f5132866543de59,2023-05-22,CHANGELOG.md
socket.io,95e215387c589025dde3982865bf8c862d049469,2023-05-01,CHANGELOG.md
socket.io,d0c0557c1bcf9afa6ade6d2dc4960fe249ba43de,2023-03-27,CHANGELOG.md
socket.io,50a4d37cb82f2a14e058ae5a3038ee25796c2121,2023-03-27,CHANGELOG.md
socket.io,cddb78e5fab3178c9956c72063aa26f418e710af,2023-03-24,CHANGELOG.md
socket.io,7952312911e439f1e794760b50054565ece72845,2023-02-20,CHANGELOG.md
socket.io,89175d0481fc7633c12bb5b233dc3421f87860ef,2023-02-20,CHANGELOG.md
socket.io,7033c0ed278705b569afef0bfe470c1937d1ec38,2023-02-19,CHANGELOG.md
socket.io,e71f3d7dbe6e9ddedc63420d877700f1533fb18b,2023-02-16,Readme.md
socket.io,535b068670848f6a3193528582484826a858d680,2023-02-14,README.md
socket.io,a2e5d1f77ff322455d9203c0a956eead4caca527,2023-02-07,CHANGELOG.md
socket.io,5980918b895410648ab41b49ea7a509b925438ee,2023-02-06,CHANGELOG.md
socket.io,898bd1c9df379f4749989afe82c311b7ed9c6174,2023-02-06,CHANGELOG.md
socket.io,89487d8a664b8e4c4071a842827feabc41deb666,2023-02-06,CHANGELOG.md
socket.io,828d447f574f8528818be1f0c35f7421a031858b,2023-02-04,CHANGELOG.md
socket.io,28dd6685021353b26a4b022e25b453c627d0a7e8,2023-01-19,CHANGELOG.md
socket.io,a21ad8882891a4af7688bb1abe369178d154ee22,2023-01-18,CHANGELOG.md
socket.io,214182b4f0616a44c18251d9f418a7ca5595dbe4,2023-01-16,CHANGELOG.md
socket.io,4d6f4541c377c83b324234e529519f1c5575598a,2023-01-12,CHANGELOG.md
socket.io,28f60b880ad04ff4b48ade0cd529f1970643604f,2023-01-12,CHANGELOG.md
socket.io,b7d54dbe8d00dbd7226266e02b789c46b60b088c,2023-01-12,Readme.md
socket.io,ae1ea77991948e0d2a4b712a245c1ef7bd8f9381,2023-01-10,CHANGELOG.md
socket.io,e2b39b63f1e8f2692548e0864cc33117781e73d8,2023-01-10,CHANGELOG.md
socket.io,4e3991f740808afc91eb7b12b8845595cc3a158d,2023-01-06,CHANGELOG.md
