repo,month,health_file_commit_count
spark,2020-06,0
spark,2020-07,3
spark,2020-08,0
spark,2020-09,0
spark,2020-10,0
spark,2020-11,0
spark,2020-12,1
spark,2021-01,0
spark,2021-02,0
spark,2021-03,0
spark,2021-04,1
spark,2021-05,0
spark,2021-06,1
spark,2021-07,1
spark,2021-08,3
spark,2021-09,0
spark,2021-10,1
spark,2021-11,0
spark,2021-12,1
spark,2022-01,1
spark,2022-02,0
spark,2022-03,0
spark,2022-04,0
spark,2022-05,0
spark,2022-06,1
spark,2022-07,0
spark,2022-08,1
spark,2022-09,1
spark,2022-10,0
spark,2022-11,0
spark,2022-12,0
spark,2023-01,0
spark,2023-02,0
spark,2023-03,0
spark,2023-04,0
spark,2023-05,0
spark,2023-06,0
spark,2023-07,1
spark,2023-08,1
spark,2023-09,4
spark,2023-10,2
spark,2023-11,1
spark,2023-12,0
spark,2024-01,1
spark,2024-02,1
spark,2024-03,0
spark,2024-04,0
spark,2024-05,0
spark,2024-06,0
spark,2024-07,0
spark,2024-08,0
spark,2024-09,0
spark,2024-10,1
spark,2024-11,0
spark,2024-12,0
spark,2025-01,1
spark,2025-02,3
spark,2025-03,0
spark,2025-04,0
spark,2025-05,5
spark,2025-06,0
